id,zip_code,city,state_code,state_name,Housing Affordability,Housing Affordability,Housing Affordability,Housing Affordability,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Job Market Strength,Job Market Strength,Job Market Strength,Job Market Strength,Living Affordability,Living Affordability,Living Affordability,Living Affordability,Living Affordability
id,zip_code,city,state_code,state_name,Home Price,Property Tax,Home Appreciation Rate,Price Per Square Foot,Education,Healthcare + Fitness,Weather Grade,Air Quality Index,Commute / Transit Score,Accessibility,Culture / Entertainment,Unemployment Rate,Recent Job Growth,Future Job Growth Index,Median Household Income,State Income Tax,Utilities,Food / Groceries,Sales Tax,Transportation Cost
1,58784,Stanley,ND,North Dakota,$337.1 K,1.02%,2.4%,$208.05,50,50,68,73,54,30,22,3.3%,2.92%,75,$61.72 K,4.8%,36,40,7%,49
2,59029,Fromberg,MT,Montana,$343.7 K,0.58%,6.8%,$117.78,51,51,54,89,52,21,11,2.8%,0.6%,75,$57.61 K,6.8%,37,39,0%,53
3,59047,Livingston,MT,Montana,$793.3 K,2.14%,6.3%,$346.08,94,90,63,69,42,21,10,3.3%,0.73%,52,$202.62 K,5.5%,39,63,6.62%,94
4,59072,Roundup,MT,Montana,$238.2 K,0.68%,1%,$93.05,49,45,56,90,59,27,20,2.9%,1.26%,57,$54.17 K,6.8%,35,39,0%,53
5,59106,Billings,MT,Montana,$350.5 K,0.91%,4%,$239.78,80,72,57,84,60,88,73,2.7%,0.6%,69,$69.69 K,6.8%,33,46,0%,36
6,59253,Peerless,MT,Montana,,,,,,,,,,,,,,,,,,,,
7,59404,Great Falls,MT,Montana,$307 K,0.97%,7.5%,$240.15,72,63,54,87,56,56,48,2.8%,0.64%,49,$58.27 K,6.8%,31,45,0%,37
8,59414,Black Eagle,MT,Montana,$198.6 K,0.96%,5.9%,$193.27,58,68,57,89,66,23,12,2.9%,0.64%,43,$61.35 K,6.8%,30,39,0%,39
9,59450,Highwood,MT,Montana,$379 K,2.74%,9.5%,$188.66,90,95,60,69,71,37,28,4.1%,0.14%,65,$105.28 K,5%,33,41,8.75%,44
10,59482,Sunburst,MT,Montana,$127.8 K,0.99%,3.4%,$43.8,55,40,53,90,56,19,10,2.3%,-0.21%,47,$78.75 K,6.8%,24,39,0%,30
11,59642,Ringling,MT,Montana,$42.7 K,0.69%,-7.2%,$30.37,38,40,63,75,61,22,12,3.9%,2.31%,27,$30.75 K,4.8%,35,22,9%,37
12,59754,Twin Bridges,MT,Montana,$432.6 K,0.45%,0.2%,$335.89,78,59,51,86,59,21,11,4.2%,-0.59%,86,$53.5 K,6.8%,27,41,0%,39
13,60022,Glencoe,IL,Illinois,$1.29 M,2.02%,5.3%,$396.37,96,100,59,59,62,37,29,4.6%,-0.49%,53,$228.75 K,5%,33,63,9%,86
14,60061,Vernon Hills,IL,Illinois,$351.2 K,2.66%,7.5%,$150.1,96,93,60,72,63,78,66,3.7%,0.14%,62,$117.25 K,5%,35,41,8%,51
15,60070,Prospect Heights,IL,Illinois,$257.2 K,2.33%,10.8%,$113.07,85,95,64,52,35,37,27,4.6%,-0.49%,50,$84.46 K,5%,33,38,10%,73
16,60110,Carpentersville,IL,Illinois,$258.6 K,2.3%,7.8%,$163.94,64,93,59,78,55,41,29,4.7%,-0.1%,54,$82.87 K,5%,35,35,9%,52
17,60113,Creston,IL,Illinois,$126.9 K,1.72%,0%,$95.48,45,53,56,79,64,33,21,2.6%,0.17%,39,$51.37 K,5.7%,36,33,7%,26
18,60124,Elgin,IL,Illinois,$282.7 K,2.5%,7.7%,$151.55,73,91,57,76,55,61,54,4.8%,-0.1%,57,$86 K,5%,37,38,8.5%,51
19,60178,Sycamore,IL,Illinois,$212 K,1.61%,6.9%,$107.18,91,81,61,56,55,70,56,2.9%,2.48%,58,$68.25 K,3.2%,34,50,7.8%,52
20,60408,Braidwood,IL,Illinois,$236.2 K,2.41%,12.2%,$127.34,67,75,61,80,54,27,17,4.2%,-0.6%,72,$76.68 K,5%,35,36,7%,55
21,60422,Flossmoor,IL,Illinois,$308.6 K,2.02%,2.1%,$131.73,94,100,61,55,54,30,21,4.6%,-0.49%,49,$140.7 K,5%,34,37,10.25%,94
22,60431,Joliet,IL,Illinois,$230.6 K,2.28%,7.6%,$155.06,70,70,60,70,60,50,41,4.8%,-0.6%,72,$84.97 K,5%,33,37,9%,55
23,60470,Ransom,IL,Illinois,$240.9 K,2.43%,2.5%,$150.18,60,71,60,82,49,23,14,4.1%,2.22%,59,$78.85 K,5.5%,42,48,8%,55
24,60480,Willow Springs,IL,Illinois,$323.6 K,2.27%,5.9%,$175.95,90,92,64,55,38,32,24,4.6%,-0.49%,52,$100.78 K,5%,33,39,10%,92
25,60560,Yorkville,IL,Illinois,$362.5 K,2.77%,7%,$158.59,85,55,54,78,40,50,42,3.8%,-0.61%,89,$105.32 K,5%,38,49,9.25%,82
26,60714,Niles,IL,Illinois,$349.7 K,2.02%,4.6%,$156.51,91,100,63,50,44,65,52,4.6%,-0.49%,56,$78.3 K,5%,32,45,10.25%,80
27,60926,Claytonville,IL,Illinois,,,,,,,,,,,,,,,,,,,,
28,60933,Elliott,IL,Illinois,$72.1 K,0.93%,-1.8%,$32.73,66,27,65,75,69,39,26,3.1%,-1.65%,40,$53.01 K,5%,31,31,7%,30
29,60957,Paxton,IL,Illinois,$267.1 K,1.5%,6.6%,$115.14,81,65,62,67,56,62,45,2.8%,1.9%,78,$81.11 K,3.1%,38,54,6%,51
30,61027,Eleroy,IL,Illinois,,,,,,,,,,,,,,,,,,,,
31,61472,Rio,IL,Illinois,$326.2 K,0.81%,5.1%,$164.46,81,54,67,80,57,50,38,3.7%,0.01%,85,$78.98 K,4.9%,36,35,8%,59
32,61480,Stronghurst,IL,Illinois,$101.3 K,1.73%,1.7%,$45.34,58,39,60,79,58,18,11,2.8%,0.71%,33,$64.95 K,5%,32,30,7.25%,42
33,61524,Dunfermline,IL,Illinois,$122.7 K,2.13%,1.3%,-,54,56,57,81,60,26,15,4.2%,0.02%,25,$53.75 K,5%,33,28,7.75%,37
34,61528,Edwards,IL,Illinois,$240.6 K,1.96%,5.7%,$107.68,85,75,69,64,53,53,50,3.8%,0.28%,48,$71.76 K,5%,35,41,8.85%,53
35,61563,Saint David,IL,Illinois,,,,,,,,,,,,,,,,,,,,
36,61749,Kenney,IL,Illinois,$111.1 K,1.83%,4.2%,$49.72,56,46,56,82,57,21,11,3.7%,-0.64%,34,$74.13 K,5%,32,26,8.25%,41
37,62014,Bunker Hill,IL,Illinois,$1.99 M,1.77%,-1%,$252.15,92,100,64,51,40,100,87,3.8%,1.72%,68,$250 K,0%,33,65,8.25%,66
38,62083,Rosamond,IL,Illinois,$395 K,0.9%,2.9%,$223.03,34,92,74,31,39,29,25,7.8%,-2.26%,65,$77.32 K,9.3%,44,43,9.5%,70
39,62233,Chester,IL,Illinois,$509.2 K,1.24%,5.4%,$165.73,97,93,65,64,54,81,66,2.5%,1.17%,57,$137.05 K,5%,32,52,9.99%,49
40,62237,Coulterville,IL,Illinois,$98.5 K,1.38%,5.1%,-,41,62,60,79,59,22,12,3.2%,0.37%,38,$49.58 K,5%,36,32,7.75%,46
41,62305,Quincy,IL,Illinois,$583.5 K,1.09%,6.1%,$375.69,93,79,66,85,66,22,10,2.7%,0.91%,78,$90.67 K,5%,39,63,6.25%,92
42,62374,Tennessee,IL,Illinois,$200.4 K,0.6%,7.7%,$143.48,64,37,64,81,67,22,13,4.4%,0.63%,33,$50.11 K,0%,35,29,9.75%,50
